Region,Preuniversitary,Technical,Baccalaureate,Master,Doctorate,TotalReg
Bas-Saint-Laurent,1314,3473,2010,279,70,7146
Saguenay-Lac-Saint-Jean,2167,4686,3913,483,144,11393
Capitale-Nationale,8361,8272,25472,4820,1701,48626
Mauricie,1990,2592,8250,855,338,14025
Estrie,3091,3025,15238,2887,886,25127
Montreal,29746,23948,117293,18152,6719,195858
Outaouais,2842,2281,2662,315,94,8194
Abitibi-Temiscamingue,899,1461,1528,184,53,4125
Cote-Nord,433,648,0,0,0,1081
Nord-du-Quebec,63,28,0,0,0,91
Gaspesie-Iles-de-la-Madeleine,372,500,0,0,0,872
Chaudiere-Appalaches,2092,3011,1796,144,0,7043
Laval,3082,2996,0,0,0,6078
Lanaudiere,2976,2249,0,0,0,5225
Laurentides,4935,4261,1096,58,0,10350
Monteregie,11051,9215,473,1082,110,21931
Centre-du-Québec,1610,1499,0,0,0,3109
TotalNiv,77024,74145,179731,29259,10115,370274
